countryId,country
27.0.0,Afghanistan
28.0.0,Angola
29.0.0,Argentina
1.0.0,Australia
30.0.0,Austria
2.0.0,Bahrain
3.0.0,Bangladesh
31.0.0,Belgium
32.0.0,Bhutan
33.0.0,Brazil
34.0.0,Bulgaria
35.0.0,Cambodia
4.0.0,Canada
36.0.0,Central African Republic
37.0.0,Chile
38.0.0,China
39.0.0,Colombia
40.0.0,Costa Rica
41.0.0,Czech Republic
42.0.0,Denmark
43.0.0,Doha
5.0.0,Dubai/ UAE
44.0.0,Egypt
45.0.0,Ethiopia
46.0.0,Fiji
47.0.0,Finland
6.0.0,France
48.0.0,Georgia
7.0.0,Germany
49.0.0,Ghana
51.0.0,Greece
52.0.0,Guatemala
53.0.0,Guinea
8.0.0,Hong Kong
54.0.0,Hungary
9.0.0,Indonesia
55.0.0,Iran
56.0.0,Iraq
10.0.0,Ireland
57.0.0,Israel
58.0.0,Italy
11.0.0,Japan
59.0.0,Kazakhstan
12.0.0,Kenya
13.0.0,Kuwait
60.0.0,Lebanon
61.0.0,Libya
62.0.0,Luxembourg
14.0.0,Malaysia
63.0.0,Maldives
64.0.0,Mauritius
65.0.0,Mexico
66.0.0,Morocco
67.0.0,Myanmar (Burma)
68.0.0,Namibia
15.0.0,Nepal
69.0.0,Netherlands
16.0.0,New Zealand
17.0.0,Nigeria
70.0.0,Norway
18.0.0,Oman
71.0.0,Pakistan
72.0.0,Philippines
73.0.0,Qatar
74.0.0,Quilon
75.0.0,Russia
19.0.0,Saudi Arabia
20.0.0,Singapore
76.0.0,South Africa
77.0.0,South Korea
78.0.0,Spain
21.0.0,Sri Lanka
81.0.0,Sudan
79.0.0,Sweden
80.0.0,Switzerland
82.0.0,Taiwan
83.0.0,Tanzania
22.0.0,Thailand
84.0.0,Uganda
23.0.0,United Kingdom (U.K)
24.0.0,United States (U.S)
85.0.0,Yemen
86.0.0,Zimbabwe
26.0.0,Other International Location
