minCTC,allowedMaxCTC,minCTCDisplay,maxCTCDisplay
12477,12477,"< 50,000","< 50,000"
12477,50000,"< 50,000","50,000"
12477,60000,"< 50,000","60,000"
12477,70000,"< 50,000","70,000"
12477,80000,"< 50,000","80,000"
12477,90000,"< 50,000","90,000"
12477,100000,"< 50,000",1.00L
12477,125000,"< 50,000",1.25L
12477,150000,"< 50,000",1.50L
12477,175000,"< 50,000",1.75L
12477,200000,"< 50,000",2.00L
50000,50000,"50,000","50,000"
50000,60000,"50,000","60,000"
50000,70000,"50,000","70,000"
50000,80000,"50,000","80,000"
50000,90000,"50,000","90,000"
50000,100000,"50,000",1.00L
50000,125000,"50,000",1.25L
50000,150000,"50,000",1.50L
50000,175000,"50,000",1.75L
50000,200000,"50,000",2.00L
50000,225000,"50,000",2.25L
50000,250000,"50,000",2.50L
50000,275000,"50,000",2.75L
50000,300000,"50,000",3.00L
60000,60000,"60,000","60,000"
60000,70000,"60,000","70,000"
60000,80000,"60,000","80,000"
60000,90000,"60,000","90,000"
60000,100000,"60,000",1.00L
60000,125000,"60,000",1.25L
60000,150000,"60,000",1.50L
60000,175000,"60,000",1.75L
60000,200000,"60,000",2.00L
60000,225000,"60,000",2.25L
60000,250000,"60,000",2.50L
60000,275000,"60,000",2.75L
60000,300000,"60,000",3.00L
70000,70000,"70,000","70,000"
70000,80000,"70,000","80,000"
70000,90000,"70,000","90,000"
70000,100000,"70,000",1.00L
70000,125000,"70,000",1.25L
70000,150000,"70,000",1.50L
70000,175000,"70,000",1.75L
70000,200000,"70,000",2.00L
70000,225000,"70,000",2.25L
70000,250000,"70,000",2.50L
70000,275000,"70,000",2.75L
70000,300000,"70,000",3.00L
80000,80000,"80,000","80,000"
80000,90000,"80,000","90,000"
80000,100000,"80,000",1.00L
80000,125000,"80,000",1.25L
80000,150000,"80,000",1.50L
80000,175000,"80,000",1.75L
80000,200000,"80,000",2.00L
80000,225000,"80,000",2.25L
80000,250000,"80,000",2.50L
80000,275000,"80,000",2.75L
80000,300000,"80,000",3.00L
90000,90000,"90,000","90,000"
90000,100000,"90,000",1.00L
90000,125000,"90,000",1.25L
90000,150000,"90,000",1.50L
90000,175000,"90,000",1.75L
90000,200000,"90,000",2.00L
90000,225000,"90,000",2.25L
90000,250000,"90,000",2.50L
90000,275000,"90,000",2.75L
90000,300000,"90,000",3.00L
100000,100000,1.00L,1.00L
100000,125000,1.00L,1.25L
100000,150000,1.00L,1.50L
100000,175000,1.00L,1.75L
100000,200000,1.00L,2.00L
100000,225000,1.00L,2.25L
100000,250000,1.00L,2.50L
100000,275000,1.00L,2.75L
100000,300000,1.00L,3.00L
100000,325000,1.00L,3.25L
100000,350000,1.00L,3.50L
100000,375000,1.00L,3.75L
100000,400000,1.00L,4.00L
100000,425000,1.00L,4.25L
100000,450000,1.00L,4.50L
100000,475000,1.00L,4.75L
100000,500000,1.00L,5.00L
100000,550000,1.00L,5.50L
100000,600000,1.00L,6.00L
125000,125000,1.25L,1.25L
125000,150000,1.25L,1.50L
125000,175000,1.25L,1.75L
125000,200000,1.25L,2.00L
125000,225000,1.25L,2.25L
125000,250000,1.25L,2.50L
125000,275000,1.25L,2.75L
125000,300000,1.25L,3.00L
125000,325000,1.25L,3.25L
125000,350000,1.25L,3.50L
125000,375000,1.25L,3.75L
125000,400000,1.25L,4.00L
125000,425000,1.25L,4.25L
125000,450000,1.25L,4.50L
125000,475000,1.25L,4.75L
125000,500000,1.25L,5.00L
125000,550000,1.25L,5.50L
125000,600000,1.25L,6.00L
125000,625000,1.25L,6.25L
150000,150000,1.50L,1.50L
150000,175000,1.50L,1.75L
150000,200000,1.50L,2.00L
150000,225000,1.50L,2.25L
150000,250000,1.50L,2.50L
150000,275000,1.50L,2.75L
150000,300000,1.50L,3.00L
150000,325000,1.50L,3.25L
150000,350000,1.50L,3.50L
150000,375000,1.50L,3.75L
150000,400000,1.50L,4.00L
150000,425000,1.50L,4.25L
150000,450000,1.50L,4.50L
150000,475000,1.50L,4.75L
150000,500000,1.50L,5.00L
