"fareaId","farea","roleId","role"
1,"Accounts / Finance / Tax / CS / Audit",1.01,"Accounts Exec./Accountant"
1,"Accounts / Finance / Tax / CS / Audit",1.02,"Cost Accountant"
1,"Accounts / Finance / Tax / CS / Audit",1.03,"Taxation(Direct) Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.04,"Taxation(Indirect) Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.05,"Accounts Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.06,"Financial Accountant"
1,"Accounts / Finance / Tax / CS / Audit",1.07,"ICWA"
1,"Accounts / Finance / Tax / CS / Audit",1.08,"Chartered Accountant"
1,"Accounts / Finance / Tax / CS / Audit",1.09,"Finance Exec."
1,"Accounts / Finance / Tax / CS / Audit",1.1,"Credit/Control Exec."
1,"Accounts / Finance / Tax / CS / Audit",1.11,"Investor Relationship-Exec./Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.12,"Credit/Control Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.13,"Financial Analyst"
1,"Accounts / Finance / Tax / CS / Audit",1.14,"Audit Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.15,"Forex Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.16,"Treasury Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.17,"Finance/Budgeting Mgr"
1,"Accounts / Finance / Tax / CS / Audit",1.18,"Head/VP/GM-Finance/Audit"
1,"Accounts / Finance / Tax / CS / Audit",1.19,"Head/VP/GM-Accounts"
1,"Accounts / Finance / Tax / CS / Audit",1.2,"Head/VP/GM-CFO/Financial Controller"
1,"Accounts / Finance / Tax / CS / Audit",1.21,"Head/VP/GM-Regulatory Affairs"
1,"Accounts / Finance / Tax / CS / Audit",1.22,"Company Secretary"
1,"Accounts / Finance / Tax / CS / Audit",1.23,"Outside Consultant"
1,"Accounts / Finance / Tax / CS / Audit",1.24,"Fresher"
1,"Accounts / Finance / Tax / CS / Audit",1.26,"Trainee"
,,,
6,"Banking / Insurance",6.01,"Cust. Service Exec."
6,"Banking / Insurance",6.02,"Cust. Service Mgr"
6,"Banking / Insurance",6.03,"Collections Officer"
6,"Banking / Insurance",6.04,"Collections Mgr"
6,"Banking / Insurance",6.05,"CRM/Phone/Internet Banking Exec."
6,"Banking / Insurance",6.06,"Sales Officer"
6,"Banking / Insurance",6.07,"Credit Officer"
6,"Banking / Insurance",6.08,"Branch Mgr"
6,"Banking / Insurance",6.09,"Regional Mgr"
6,"Banking / Insurance",6.1,"National Head"
6,"Banking / Insurance",6.11,"Asset Operations/Documentation-Exec./Mgr"
6,"Banking / Insurance",6.12,"Domestic Private Banking-Exec./Mgr"
6,"Banking / Insurance",6.13,"Product Mgr-Auto/Home Loans"
6,"Banking / Insurance",6.14,"Cards-Sales Officer/Exec."
6,"Banking / Insurance",6.15,"Cards Operations Exec."
6,"Banking / Insurance",6.16,"Cards Operations Mgr"
6,"Banking / Insurance",6.17,"Collections Exec."
6,"Banking / Insurance",6.18,"Card Approvals Officer"
6,"Banking / Insurance",6.19,"Merchant Acquisition Exec."
6,"Banking / Insurance",6.2,"Business Alliances Mgr"
6,"Banking / Insurance",6.21,"Product Mgr-Cards"
6,"Banking / Insurance",6.22,"Back Office Exec."
6,"Banking / Insurance",6.23,"Money Markets Dealer"
6,"Banking / Insurance",6.24,"Forex Dealer"
6,"Banking / Insurance",6.25,"Sales/BD Mgr-Forex"
6,"Banking / Insurance",6.26,"Forex Operations Mgr"
6,"Banking / Insurance",6.27,"Debt Instrument Dealer"
6,"Banking / Insurance",6.28,"Sales/BD Mgr-Debt Instruments"
6,"Banking / Insurance",6.29,"Debt Operations Mgr"
6,"Banking / Insurance",6.3,"Derivatives Dealer"
6,"Banking / Insurance",6.31,"Sales/BD Mgr-Derivatives"
6,"Banking / Insurance",6.32,"Treasury Operations Mgr"
6,"Banking / Insurance",6.33,"Clearing Officer"
6,"Banking / Insurance",6.34,"Cash Officer"
6,"Banking / Insurance",6.35,"Operations Officer"
6,"Banking / Insurance",6.36,"Operations Mgr"
6,"Banking / Insurance",6.37,"Depository Services-Exec./Mgr"
6,"Banking / Insurance",6.38,"Legal Officer"
